key,en,pt,es,zh-tw,ko,zh-cn,zh-hk
CREATING_FAIL_MESSAGE,You do not appear to have created any buckets.,Parece que você não criou um intervalo.,Parece que no has creado ningún segmento.,您的任務,버킷이 생성되지 않은 것 같습니다.,您似乎未创建任何存储分区。,您似乎未建立儲存區。
CREATING_HELP_TEXT,"Your Quest

By modifying ""python/challenge.py"", ""node/challenge.js"", ""go/challenge.go"", or using gsutil directly, create a bucket named \$BUCKET_NAME.

Hit the ""Check"" button when you are done.

Coding Your Solution

If you run 'ls', you will see folders for each supported language; currently
python, node (JavaScript), and go.

Once you're ready to write some code, use vim, nano, or emacs to edit the
challenge file in one of these directories.

To debug your answer, use the command ""node"", ""python"", or ""go run"", to execute your program.

Using gsutil
-------------------------------

You will also find the gsutil utility installed, and the environment variable
$BUCKET_NAME set. Run ""gsutil --help"" for information about this command.","Sua Quest

Crie um intervalo chamado $BUCKET_NAME modificando ""python/challenge.py"", ""node/challenge.js"" ou ""go/challenge.go"" ou usando o gsutil diretamente.

Pressione o botão ""Check"" quando terminar.

Codificar sua solução

Se você executar o comando 'ls', verá pastas para cada linguagem compatível, que no momento são as seguintes:
Python, Node (JavaScript) e Go.

Quando estiver pronto para escrever algum código, use o Vim, o Nano ou o Emacs para editar o arquivo de desafio em um desses diretórios.

Para depurar a resposta, use o comando ""node"", ""python"" ou ""go run"" a fim de executar seu programa.

Usar o gsutil
-------------------------------

Você também encontrará o utilitário do gsutil instalado e o conjunto $BUCKET_NAME da variável de ambiente. Execute o comando ""gsutil --help"" para ver mais informações sobre ele.","Tu Quest

Modifica ""python/challenge.py"", ""node/challenge.js"" o ""go/challenge.go"", o bien utiliza gsutil directamente, para crear un segmento llamado $BUCKET_NAME.

Pulsa el botón ""Check"" (Comprobar) cuando termines.

Programar la solución

Si ejecutas ""ls"", verás las carpetas de cada lenguaje admitido: Python, Node (JavaScript) y Go.

Cuando tengas todo listo para empezar a escribir código, utiliza Vim, Nano o Emacs para editar el archivo del ejercicio en uno de estos directorios.

Para depurar tu respuesta y ejecutar el programa, usa los comandos ""node"", ""python"" o ""go run"".

Utilizar gsutil
-------------------------------

También encontrarás la herramienta gsutil instalada y la variable de entorno $BUCKET_NAME configurada. Ejecuta ""gsutil --help"" para obtener más información sobre este comando.",輸入「help」即可再次顯示這則訊息。,"퀘스트

'python/challenge.py', 'node/challenge.js', 'go/challenge.go'를 수정하거나 gsutil을 직접 사용하여 \$BUCKET_NAME이라는 버킷을 만드세요.

완료되었으면 'Check' 버튼을 누르세요.

솔루션 코드 작성

'ls'를 실행하면 지원되는 각 언어(현재까지 Python, Node(자바스크립트), Go)의 폴더가 표시됩니다.

코드를 작성할 준비가 되었다면 vim, nano, emacs를 사용하여 해당 디렉터리 중 하나에서 도전과제 파일을 수정하세요.

답변으로 입력한 코드를 디버그하려면 'node', 'python', 'go run' 명령어를 사용하여 프로그램을 실행하세요.

gsutil 사용
-------------------------------

또한 gsutil 유틸리티가 설치되고 환경 변수 $BUCKET_NAME이 설정된 것을 확인할 수 있습니다. 이 명령어에 대한 자세한 내용을 보려면 'gsutil --help'를 실행하세요.","您的挑战任务

通过修改“python/challenge.py”、“node/challenge.js”、“go/challenge.go”或者直接使用 gsutil，创建一个名为 \$BUCKET_NAME 的存储分区。

完成后点击“Check”（检查）按钮。

为您的解决方案编写代码

如果您运行“ls”，则会看到每种受支持语言所对应的文件夹；目前支持 Python、Node (JavaScript) 和 Go。

在您准备好编写代码后，请使用 vim 修改其中一个目录中的挑战任务文件。

要对您的答案进行调试，请使用命令“node”、“python”或“go run”来执行相关程序。

使用 gsutil
-------------------------------

您还将发现已安装的 gsutil 实用程序以及环境变量 $BUCKET_NAME 集。运行“gsutil --help”可查看有关此命令行工具的详细信息。
","任務

修改「python/challenge.py」、「node/challenge.js」、「go/challenge.go」，或直接使用 gsutil 建立名為「$BUCKET_NAME」的儲存區。

完成後按一下「勾選」按鈕。

編寫解決方案

如您執行「ls」，您將看到各支援語言的資料夾；目前為
python、node (JavaScript) 和 go。

準備好編寫程式碼後，使用 vim、nano 或 emacs 編輯其中一個目錄中的挑戰檔案。

要偵錯答案，請使用指令「node」、「python」，或「go run」以執行程式。

使用 gsutil
-------------------------------

您亦將看到系統已安裝 gsutil 實用程式，並已設定環境變數
$BUCKET_NAME。執行「gsutil --help」以查閲指令說明。"
CREATING_HINT_TEXT,"Hint
----

try running:

gsutil mb gs://...

replacing ""..."" with the appropriate bucket name.","Dica
----

tente executar:

gsutil mb gs://...

substituindo ""..."" pelo nome apropriado do intervalo.","Pista
----

prueba a ejecutar:

gsutil mb gs://...

sustituye ""..."" por el nombre del segmento correspondiente.",「真的」想不出來時，請輸入「hint」。,"힌트
----

다음 명령어를 실행해 보세요.

gsutil mb gs://...

'...'는 적절한 버킷 이름으로 바꾸세요.","提示
----

尝试运行：

gsutil mb gs://...

将“...”替换为相应的存储分区名称。
","提示
----

試試執行：

gsutil mb gs://...

以適當的儲存區名稱取代「...」。"
CREATING_QUIZ_ANSWER,"What was the .png an image of?
horse
television
house
person
dog
orange
pizza","O que a imagem .png mostrava?
cavalo
televisão
casa
pessoa
cachorro
laranja
pizza","¿Qué aparecía en la imagen .png?
un caballo
una televisión
una casa
una persona
un perro
una naranja
una pizza",這項挑戰的答案是什麼？,".png는 다음 중 어떤 이미지였나요?
말
TV
집
사람
개
오렌지
피자",".png 图片上有什么？
马
电视机
房屋
人
犬
橙子
披萨","請問 .png 圖片中的是什麽？
馬
電視
屋
人
狗
橙
薄餅"
CREATING_QUIZ_CHECK,Click the 'Check' button if you're happy with your answer.,"Pressione o botão ""Check"" quando terminar.","Haz clic en el botón ""Check"" (Comprobar) cuando creas que sabes la respuesta.",現在，請按下 [A] 按鈕以驗證您的答案,올바른 답을 입력했다고 생각되면 'Check' 버튼을 클릭하세요.,如果您对自己的答案感到满意，请点击“Check”（检查）按钮。,找到滿意的答案後，按一下「勾選」按鈕。
CREATING_PYTHON_COMMENTS,"# using the method ""create_bucket"" on ""storage_client"",
# which takes the argument ""bucket_name"", create a
# cloud storage bucket.","# usando o método ""create_bucket"" em ""storage_client""
# que contém o argumento ""bucket_name"", crie um
# intervalo do Cloud Storage.","# con el método ""create_bucket"" en ""storage_client"",
# que admite el argumento ""bucket_name"", crea un
# segmento de Cloud Storage.",當您認為自己知道答案時，請輸入「答案」，然後按下 ENTER 鍵,"# 'storage_client'에 대해 'bucket_name'을 인수로 받는
# 'create_bucket' 메서드를 사용하여
# Cloud Storage 버킷을 만드세요.",# 使用“storage_client”上的“create_bucket”方法，,"#使用「storage_client」的上方法「create_bucket」，
#其引數為「BUCKET_NAME」，建立
#雲端儲存空間儲存區。"
CREATING_NODE_COMMENTS,"// Imports the Google Cloud client library

// Globally unique bucket name (don't change this).

// An authenticated storage API client.

// there is a method called ""createBucket"" on the ""Storage""
// class which takes the argument ""bucketName"".
// create a bucket ""bucketName"".","// Importa a biblioteca de cliente do Google Cloud

// Nome de intervalo exclusivo globalmente (não o altere).

// Um cliente de API de armazenamento autenticado.

// há um método chamado ""createBucket"" na classe ""Storage""
// que contém o armazenamento ""bucketName"".
// crie um intervalo ""bucketName"".","// Sirve para importar la biblioteca de cliente de Google Cloud

// Es un nombre de segmento global único (no lo cambies).

// Un cliente de API de Storage autenticado.

// hay un método llamado ""createBucket"" en la clase ""Storage""
// que admite el argumento ""bucketName"".
// crea un segmento llamado ""bucketName"".",如果您需要提示，也許您應該試試「較簡單」的任務 :),"// Google Cloud 클라이언트 라이브러리를 가져옵니다.

// 전역적으로 고유한 버킷 이름입니다(변경 금지).

// 인증된 스토리지 API 클라이언트입니다.

// 'Storage' 클래스에 대해 'bucketName'을 인수로 받는
// 'createBucket'이라는 메서드가 있습니다.
// 'bucketName' 버킷을 만드세요.",#（接受“bucket_name”参数），创建一个 Cloud Storage,"//匯入「Google 雲端」用戶端資料庫

//全球獨特儲存區名稱 (請勿更改)。

//已驗證儲存空間 API 用戶端。

//在「Storage」類別之上，有一個名為「createBucket」的方法，
//其引數為「bucketName」。
// 建立儲存區「bucketName」。"
CREATING_GO_COMMENTS,"// using the methods: ""client.Bucket"" and
// ""bucket.Create(ctx, projectID, &storage.BucketAttrs{})"" create
// a bucket named ""bucketName"".","// usando os métodos: ""client.Bucket"" e
// ""bucket.Create(ctx, projectID, &storage.BucketAttrs{})"" crie
// um intervalo chamado ""bucketName"".","// utiliza los métodos: ""client.Bucket"" y
// ""bucket.Create(ctx, projectID, &storage.BucketAttrs{})"" y crea
// un segmento llamado ""bucketName"".",您尚未回答！您必須執行「answer」指令，然後按下 ENTER 鍵,"// 'client.Bucket' 및 'bucket.Create(ctx, projectID, &storage.BucketAttrs{})'
// 메서드를 사용하여
// 'bucketName'이라는 버킷을 만드세요.",# 存储分区。,"//使用方法：「client.Bucket」及
//「bucket.Create(ctx, projectID, &storage.BucketAttrs{})」建立
//名為「bucketName」的儲存區。"
CREATING_NODE_HINT_TOOLTIP,"If you need a hint, maybe you should try an EASIER difficulty :)","Se você precisar de uma dica, tente um nível de dificuldade MENOR :)","Si necesitas una pista, quizás deberías probar con un grado de dificultad menor :)",答錯了！想不出答案時，請輸入「hint」。,혹시 힌트가 필요하다면 조금 더 쉬운 난이도를 선택하는 것이 어떨까요? :),// 导入 Google Cloud 客户端库,如您需要提示，您便可能應該試試較容易的難度設定 :)
DOWNLOADING_FAILURE,"Your answer was incorrect, did you actually see the image?",A resposta está incorreta. Você conseguiu visualizar a imagem?,Tu respuesta no es correcta. ¿Has llegado a ver la imagen?,"「doggo1.png」圖檔中出現了一隻可愛的小狗，請問它是什麼品種？請使用「gcloud」，透過 Google 的 Vision API 傳送這隻小寶貝的圖片，然後回報最可能的品種是什麼。

*提示*輸入「gcloud ml vision」即可開始。",정답이 아닙니다. 실제로 이미지를 보셨나요?,// 全局唯一的存储分区名称（请勿更改此名称）。,答案錯誤，您真的看到那幅圖片嗎？
