key,en,pt,es,ko,zh-cn,zh-tw,zh-hk
PUBLIC_DATASET_HELP,"Let's use the bigquery-public-data.usa_names.usa_1910_current table to
figure out what's been the most common name in the US since 1910.
The name of the table is available as an environment variable \$USA_NAMES.
Each row represents the number of applicants for a Social Security card by year
of birth, state and gender. So for an example row:
+-------+--------+------+------+--------+
| state | gender | year | name | number |
+-------+--------+------+------+--------+
| NJ    | F      | 1910 | Anna |    355 |
+-------+--------+------+------+--------+
For example there were 355 females born with the name Anna in NJ during 1910.
Using this table figure out what's the most common name in the US since 1910.
When you think you know the answer, type ""answer"" and press ENTER.
**Hint**:
Example query:
bq query 'SELECT * FROM $USA_NAMES LIMIT 1'
Or use this command to check the schema of the table:
bq show bigquery-public-data:usa_names.usa_1910_current","Vamos usar a tabela “bigquery-public-data.usa_names.usa_1910_current” para descobrir qual é o nome mais comum nos EUA desde 1910.
O nome da tabela está disponível como uma variável de ambiente \$USA_NAMES.
Cada linha representa o número de pessoas que se inscreveram para receber um cartão da Previdência Social por ano de nascimento, estado e gênero. Veja uma linha de exemplo:
+-------+--------+------+------+--------+
| state | gender | year | name | number |
+-------+--------+------+------+--------+
| NJ    | F      | 1910 | Anna |    355 |
+-------+--------+------+------+--------+
Por exemplo, 355 mulheres com o nome Anna nasceram em NJ no ano de 1910.
Usando esta tabela, descubra qual é o nome mais comum nos EUA desde 1910.
Quando achar que sabe a resposta, digite ""answer"" e pressione ENTER.
**Dica**:
consulta de exemplo:
bq query 'SELECT * FROM $USA_NAMES LIMIT 1'
Ou use este comando para verificar o esquema da tabela:
bq show bigquery-public-data:usa_names.usa_1910_current","Usaremos la tabla bigquery-public-data.usa_names.usa_1910_current para saber cuál ha sido el nombre más común en EE. UU. desde el año 1910.
El nombre de la tabla está disponible como la variable de entorno \$USA_NAMES.
Cada fila representa el número de solicitantes de una tarjeta de la seguridad social por año de nacimiento, estado y sexo. Aquí puedes ver una fila de ejemplo:
+-------+--------+------+------+--------+
| estado | sexo | año | nombre | número |
+-------+--------+------+------+--------+
| NJ    | M      | 1910 | Anna |    355 |
+-------+--------+------+------+--------+
Por ejemplo, en el año 1910 en Nueva Jersey nacieron 355 mujeres llamadas Anna.
Averigua con esta tabla cuál ha sido el nombre más común en EE. UU. desde el año 1910.
Cuando creas que sabes la respuesta, escribe ""answer"" y pulsa INTRO.
**Pista**:
Consulta de ejemplo:
bq query 'SELECT * FROM $USA_NAMES LIMIT 1'
O usa este comando para comprobar el esquema de la tabla:
bq show bigquery-public-data:usa_names.usa_1910_current","bigquery-public-data.usa_names.usa_1910_current 테이블로 1910년부터 지금까지 미국에서 가장 흔한 이름이 무엇인지 확인해보세요.
테이블 이름은 환경 변수 \$USA_NAMES로 사용됩니다.
각 행에는 출생 연도와 주 및 성별에 따른 사회보장카드 신청자 수가 표시되어 있습니다. 예를 들면 다음과 같습니다.
+-------+--------+------+------+--------+
| state | gender | year | name | number |
+-------+--------+------+------+--------+
| NJ    | F      | 1910 | Anna |    355 |
+-------+--------+------+------+--------+
예를 들어 1910년 한 해 동안 뉴저지 주에서 태어났고 이름이 애나인 여성은 355명 이었습니다.
이 테이블을 이용해서 1910년부터 지금까지 미국에서 가장 많이 사용된 이름이 무엇인지 확인해보세요.
정답을 안다고 생각되면 'answer'를 입력하고 Enter 키를 누르세요.
**힌트**:
쿼리 예시:
bq query 'SELECT * FROM $USA_NAMES LIMIT 1'
또는 다음 명령어를 사용하여 테이블의 스키마를 확인하세요.
bq show bigquery-public-data:usa_names.usa_1910_current","让我们用 bigquery-public-data.usa_names.usa_1910_current 表格，找出 1910 年以来美国人最常使用的名字。
表格中的名字通过环境变量 \$USA_NAMES 提供。
每行代表按出生年份、州和性别划分的社保卡申请人数。请看下面的示例行：
+-------+--------+------+------+--------+
| state | gender | year | name | number |
+-------+--------+------+------+--------+
| NJ    | F      | 1910 | Anna |    355 |
+-------+--------+------+------+--------+
示例显示，1910 年有 355 名新泽西出生的女性取名为 Anna。
请使用该表格，找出 1910 年以来美国最常用的名字是什么。
知道答案后，请键入“answer”并按下 ENTER。
**提示**：
查询示例：
bq query 'SELECT * FROM $USA_NAMES LIMIT 1'
或使用此命令来检查表格的架构：
bq show bigquery-public-data:usa_names.usa_1910_current","讓我們使用 bigquery-public-data.usa_names.usa_1910_current 資料表來找出自 1910 年以來美國最常見的名字。
您可以透過 \$USA_NAMES 這個環境變數取得資料表的名稱。
每個資料列分別代表按出生年份、州別和性別劃分的社會安全卡申請人數。所以資料列的範例如下：
+-------+--------+------+------+--------+
| state | gender | year | name | number |
+-------+--------+------+------+--------+
| NJ    | F      | 1910 | Anna |    355 |
+-------+--------+------+------+--------+
例如，1910 年在紐澤西州出生的女性中有 355 人叫做 Anna。
使用此資料表可以找出自 1910 年以來美國最常見的名字。
當您認為自己知道答案時，請輸入「answer」，然後按下 ENTER 鍵。
**提示**：
查詢範例：
bq query 'SELECT * FROM $USA_NAMES LIMIT 1'
或者使用以下指令來檢查資料表的結構定義：
bq show bigquery-public-data:usa_names.usa_1910_current","使用 bigquery-public-data.usa_names.usa_1910_current 表格，找出 1910 年以來美國最多人使用的名字。
 表格名稱以環境變數「\$USA_NAMES」呈現。
 每一列均代表按出生年份、州份和性別的「社會保障」卡申請人數。此列是一個例子：
 +-------+--------+------+------+--------+
 | 州分| 性別|出生年| 名字 | 數目|
 +-------+--------+------+------+--------+
 |新澤西 | 女| 1910 | Anna |355 |
 +-------+--------+------+------+--------+
 例如，1910 年的新澤西州有 355 位名為 Anna 的女性出生。
 使用此表格，找出 1910 年以來美國最多人使用的名字。
 找到答案後，請輸入「answer」，然後按 ENTER。
 **提示**：
 查詢範例：
 bq 查詢「SELECT * FROM $USA_NAMES LIMIT 1」
 或使用此指令查看表格的架構：
 bq 顯示 bigquery-public-data:usa_names.usa_1910_current"
PUBLIC_DATASET_HINT,"Remember that each row is aggregated by name and year. This query will help you
get very close to the answer:
    bq query 'SELECT name, sum(number) FROM '\$USA_NAMES' GROUP BY 1 ORDER BY 2 DESC LIMIT 10'","Lembre-se de que cada linha é agregada por nome e ano. Esta consulta ajudará a chegar muito perto da resposta:
    bq query 'SELECT name, sum(number) FROM '\$USA_NAMES' GROUP BY 1 ORDER BY 2 DESC LIMIT 10'","Recuerda que cada fila se agrupa por nombre y año. Esta consulta te pondrá sobre la pista de la respuesta:
    bq query 'SELECT name, sum(number) FROM '\$USA_NAMES' GROUP BY 1 ORDER BY 2 DESC LIMIT 10'","각 행은 이름과 연도별로 집계되어 있습니다. 다음 쿼리는 정답을 확인하는 데 큰 도움이 될 것입니다.
    bq query 'SELECT name, sum(number) FROM '\$USA_NAMES' GROUP BY 1 ORDER BY 2 DESC LIMIT 10'","请记住，每一行都是按照名字和年份聚合的。下面的查询将帮助您非常接近找到答案：
    bq query 'SELECT name, sum(number) FROM '\$USA_NAMES' GROUP BY 1 ORDER BY 2 DESC LIMIT 10'","提醒您，每個資料列都會按名字和年份匯總。以下查詢將可以協助您找到非常接近答案的結果：
    bq query 'SELECT name, sum(number) FROM '\$USA_NAMES' GROUP BY 1 ORDER BY 2 DESC LIMIT 10'","請謹記，每一列均按名稱和年份彙整。此查詢對您取得答案大有幫助：
 bq 查詢「SELECT name, sum(number) FROM 」\$USA_NAMES「GROUP BY 1 LIMIT 10」"
PUBLIC_DATASET_FAIL,"Your answer is incorrect! If you are really stuck, type 'hint'.","Resposta incorreta! Se não souber mais o que fazer, digite “hint”.","Tu respuesta no es correcta. Si te bloqueas, escribe ""hint"".",정답이 아닙니다. 문제 해결이 어려우면 'hint'를 입력하세요.,您答错了。如果实在回答不出来，请键入“hint”。,答錯了！如果真的想不出來，請輸入「hint」。,答案錯誤！如需提示，請輸入「hint」。
PUBLIC_DATASET_CHOICES,"What is the most common name?
Leslie
John
Peter
Lee
James
Mary","Qual é o nome mais comum?
Leslie
John
Peter
Lee
James
Mary","¿Cuál es el nombre más común?
Leslie
John
Peter
Lee
James
Mary","가장 일반적인 이름은 무엇입니까?
Leslie
John
Peter
Lee
James
Mary","什么是最常见的名字？
Leslie
John
Peter
Lee
James
Mary","什麼是最常見的名字？
Leslie
John
Peter
Lee
James
Mary","什麼是最常見的名字？
Leslie
John
Peter
Lee
James
Mary"
CREATE_A_DATASET_HELP,"In this challenge we are going to create a new dataset.
Use the bq cli to create a dataset called $random_dataset_id.
The name of the dataset is accessible as the environment variable \$DATASET_ID.
Once the dataset is created, press the A button to verify it.
If in doubt, run ""bq help | grep dataset"" to get some guidance.","Neste desafio, criaremos um novo conjunto de dados.
Use “bq cli” para criar um conjunto de dados chamado $random_dataset_id.
O nome do conjunto de dados pode ser acessado como a variável de ambiente \$DATASET_ID.
Depois de criar o conjunto de dados, pressione o botão A para verificá-lo.
Em caso de dúvida, execute ""bq help | grep dataset"" para receber orientações.","En este ejercicio, vamos a crear un conjunto de datos.
Utiliza la CLI de bq para crear un conjunto de datos al que llamarás $random_dataset_id.
El nombre del conjunto de datos está disponible como la variable de entorno \$DATASET_ID.
Cuando crees el conjunto de datos, pulsa el botón A para verificarlo.
Si tienes dudas, ejecuta ""bq help | grep dataset"" para obtener más información.","이 도전과제에서는 새 데이터세트를 만듭니다.
bq cli를 사용하여 $random_dataset_id라는 데이터세트를 만드세요.
데이터세트 이름은 환경 변수 \$DATASET_ID로 액세스될 수 있습니다.
데이터세트가 생성된 후에는 A 버튼을 눌러서 확인하세요.
확실하지 않으면 'bq help | grep dataset'를 실행하여 도움을 받으세요.","在这一关，我们将创建新的数据集。
使用 bq cli 创建名为 $random_dataset_id 的数据集。
该数据集的名称可以通过环境变量 \$DATASET_ID 来访问。
创建数据集后，请按 A 按钮进行验证。
如有疑问，请运行“bq help | grep dataset”来获得一些指导。","在這項挑戰中，我們將建立一個新的資料集。
請使用 bq cli 來建立一個名為 $random_dataset_id 的資料集。
您可以透過 \$DATASET_ID 這個環境變數取得資料集的名稱。
建立資料集後，請按下 [A] 按鈕進行驗證。
如果有疑問，請執行「bq help | grep dataset」來取得相關指示。","在此挑戰中，我們將建立全新的數據集。
 使用 bq cli 建立名為「$random_dataset_id」的數據集。
 數據集名稱以環境變數「\$DATASET_ID」呈現。
 建立數據集後，請按 A 按鈕作檢查。
 如有疑問，請執行「bq help | grep dataset」以取得指引。"
CREATE_A_DATASET_HINT,"Try running ""bq help | grep dataset"" that might help you find the right command.","Tente executar ""bq help | grep dataset"", isso pode ser útil para encontrar o comando certo.","Prueba a ejecutar ""bq help | grep dataset"". Puede ayudarte a encontrar el comando correcto.",올바른 명령어를 찾는 데 도움이 될 수 있는 'bq help | grep dataset'를 실행해보세요.,试着运行“bq help | grep dataset”，这可能会帮助您找到正确的命令。,請嘗試執行「bq help | grep dataset」，協助您找到正確的指令。,請嘗試執行「bq help | grep dataset」，這有助您找出正確的指令。
CREATE_A_DATASET_FAIL,Could not find a dataset called $DATASET_ID,Não foi possível encontrar um conjunto de dados chamado $DATASET_ID,No se ha podido encontrar ningún conjunto de datos con el nombre $DATASET_ID,$DATASET_ID라는 데이터세트를 찾을 수 없음,没有找到名为 $DATASET_ID 的数据集,找不到名為 $DATASET_ID 的資料集,找不到名為「$DATASET_ID」的數據集
CREATE_TABLE_AND_LOAD_DATA_HELP,"Now that we have our $DATASET_ID dataset created,
let's create a table called ""road_trip"" in that dataset and load some data
using the data.csv file available in the home directory.
Remember you can access the dataset name in \$DATASET_ID.
Use the schema.json file to define the table schema.
And remember, if you need help run ""bq help | grep table"".","Agora que o conjunto de dados $DATASET_ID foi criado, vamos criar uma tabela chamada ""road_trip"" nesse conjunto de dados e carregar alguns dados no arquivo data.csv disponível no diretório inicial.
Lembre-se, você pode acessar o nome do conjunto de dados em \$DATASET_ID.
Use o arquivo “schema.json” para definir o esquema da tabela.
E lembre-se, se precisar de ajuda, execute ""bq help | grep table"".","Ahora que ya tienes listo el conjunto de datos $DATASET_ID, vamos a crear en él una tabla llamada ""viaje_carretera"", en la que cargaremos algunos datos. Para ello, utiliza el archivo data.csv que encontrarás en el directorio principal.
Recuerda que puedes acceder al nombre del conjunto de datos en \$DATASET_ID.
Utiliza el archivo schema.json para definir el esquema de la tabla.
Si necesitas ayuda, recuerda que puedes ejecutar ""bq help | grep table"".","이제 $DATASET_ID 데이터세트가 생성되었으므로, 
이 데이터세트에서 'road_trip'이라는 테이블을 만들고 
홈 디렉터리에 있는 data.csv 파일을 
사용하여 데이터를 로드해보세요.
\$DATASET_ID의 데이터세트 이름에 액세스할 수 있습니다.
schema.json 파일을 사용하여 테이블 스키마를 정의하세요.
그리고 도움이 필요하면 'bq help | grep table'을 실행하세요.","既然我们已经创建了 $DATASET_ID 数据集，
让我们在该数据集中创建名为“road_trip”的表格，并使用主目录下的 data.csv 文件加载一些数据。
请记住，您可以通过  \$DATASET_ID 访问该数据集名称。使用 schema.json 文件定义表格架构。
同时请记住，如果需要帮助，请运行“bq help | grep table”。","現在我們已經建立了 $DATASET_ID 資料集，接著請在該資料集裡建立名為「road_trip」的資料表，然後使用主目錄中的 data.csv 檔案載入一些資料。
提醒您，您可以在 \$DATASET_ID 中存取資料集名稱。
使用 schema.json 檔案來定義資料表結構定義。
此外，也請記得，如果您需要協助，請執行「bq help | grep table」。","現在，我們已建立了 $DATASET_ID 數據集，
 請在數據集中，建立名為「road_trip」的表格，並使用主目錄中的 data.csv 檔案載入資料。
 請謹記，您可在 \$DATASET_ID 存取數據集名稱。
 使用 schema.json 檔案定義表格架構。
 並記得在需要協助時，執行「bq help | grep table」。"
CREATE_TABLE_AND_LOAD_DATA_HINT,"Try running ""bq load"" it will guide you through the usage.
Remember that the destination table is formed by [dataset].[table]","Tente executar ""bq load"", isso guiará você pelo uso da ferramenta.
Lembre-se de que a tabela de destino é formada por [dataset].[table]","Prueba a ejecutar ""bq load"". Te proporcionará información sobre el proceso.
Recuerda que la tabla de destino está formada por [dataset].[table]","사용 방법에 대한 안내가 필요하면 'bq load'를 실행해보세요.
대상 테이블은 [dataset].[table] 형식으로 지정됩니다.","尝试运行“bq load”，它将指导您完成使用。
请记住，目标表格的名称格式是 [dataset].[table]","請嘗試執行「bq load」，引導您完成整個使用過程。
提醒您，目標資料表由 [dataset].[table] 組成","試試執行「bq load」，這將引導您完成使用過程。
 請謹記，目的地表格由 [dataset].[table] 構成"
CREATE_TABLE_AND_LOAD_DATA_FAIL_NO_TABLE,Could not find a table called $DATASET_ID.road_trip,Não foi possível encontrar uma tabela chamada $DATASET_ID.road_trip,No se ha podido encontrar ningún conjunto de datos con el nombre $DATASET_ID $DATASET_ID.road_trip,$DATASET_ID.road_trip이라는 테이블을 찾을 수 없음,找不到名为 $DATASET_ID.road_trip 的表格,找不到名為 $DATASET_ID.road_trip 的資料表,找不到名為「$DATASET_ID.road_trip」的表格
