key,en,pt,es,zh-cn,ko,zh-tw
slug,gke-microservices,gke-microservices-pt,gke-microservices-es,gke-microservices-simplifiedchinese,gke-microservices-ko,gke-microservices-zh-tw
teaser,Are you a master of microservices?,Você sabe como usar os microsserviços?,¿Dominas el ámbito de los microservicios?,您是否精通微服务？,마이크로서비스 전문가이신가요?,您熟悉微服務嗎？
description,"Kubernetes Engine is a managed, production-ready environment for deploying and managing containerized applications. It brings our latest innovations in developer productivity, resource efficiency, automated operations, and open source flexibility to accelerate your time to market.","O Kubernetes Engine é um ambiente gerenciado, pronto para produção e dedicado à implantação e ao gerenciamento de aplicativos em contêineres. Ele faz parte das nossas inovações mais recentes em produtividade do usuário, eficiência de recursos, operações automatizadas e flexibilidade de código aberto. Tudo isso para reduzir o tempo de lançamento.","Kubernetes Engine es un entorno gestionado y listo para la fase de producción con el que puedes desplegar y gestionar aplicaciones en contenedores. Esta solución incorpora nuestras últimas innovaciones en cuanto a la productividad de los desarrolladores, la eficiencia de los recursos, las operaciones automatizadas y la flexibilidad del código abierto para agilizar tu tiempo de lanzamiento.",Kubernetes Engine 是一种支持生产工作负载的托管式环境，可用于部署和管理容器化应用。它提供我们在开发者工作效率、资源效率、自动化运维和开源灵活性领域的最新创新技术，帮助您缩短产品上市时间。,"Kubernetes Engine은 컨테이너형 애플리케이션의 배포 및 관리를 위한 관리형 프로덕션 환경입니다. 이 도구는 개발자 생산성, 리소스 효율성, 자동화된 운영, 오픈소스 유연성에 혁신을 가져와 TTM(Time To Market)을 단축합니다.",Kubernetes Engine 是一種代管環境，可用於部署及管理容器化應用程式，讓您輕鬆處理實際工作環境中的作業。這項服務整合了 Google 在開發人員生產力、資源運用效率、自動化作業和開放原始碼靈活性等方面的最新技術，可縮短應用程式的上市時間。
namespace-assignment,"A GKE Cluster has been provisioned for you, and the **kubectl** CLI has been pre-authenticated.\n\nCreate a namespace called **challenge**","Um cluster do GKE foi provisionado, e a CLI **kubectl** foi pré-autenticada.\n\nCrie um namespace chamado **challenge**.","Hemos aprovisionado un clúster de GKE para que lo utilices, además de preautenticar la interfaz de línea de comandos (CLI) **kubectl**.\n\nCrea un espacio de nombres denominado **challenge**.",系统已为您预配了一个 GKE 集群，并且已预先对 **kubectl** CLI 进行了身份验证。\n\n创建一个名为 **challenge** 的命名空间,GKE 클러스터가 프로비저닝되고 **kubectl** CLI가 사전에 인증되었습니다.\n\n**challenge**라는 네임스페이스를 만드세요.,我們為您佈建了 GKE 叢集，並已預先驗證 **kubectl** CLI。\n\n請建立名為 **challenge** 的命名空間
namespace-notes-1,"Google Kubernetes Engine is a **fully managed and enterprise grade** Kubernetes platform. \n\nWith Kubernetes Engine you can focus on deploying and managing **containerized microservices** while leaving the **node, network, and other low level maintenance** to Google.","O Google Kubernetes Engine é uma plataforma Kubernetes **totalmente gerenciada e de nível empresarial**. \n\nCom ele, é possível se concentrar na implantação e no gerenciamento de **microsserviços em contêineres**, enquanto o Google cuida **do nó, da rede e de outras manutenções de baixo nível**.","Google Kubernetes Engine es una plataforma **de nivel empresarial y totalmente gestionada** de Kubernetes. \n\nCon Kubernetes Engine, puedes centrarte en desplegar y gestionar **microservicios en contenedores** y dejar las tareas de **mantenimiento del nodo, de la red y de otros aspectos menores** en manos de Google.",Google Kubernetes Engine 是一个**完全托管的企业级** Kubernetes 平台。\n\n利用 Kubernetes Engine，您可以集中精力来部署和管理**容器化微服务**，而将**节点、网络和其他低级别的维护工作**交给 Google 处理。,"Google Kubernetes Engine은 **완전 관리형 엔터프라이즈 수준**의 Kubernetes 플랫폼입니다. \n\nKubernetes Engine을 사용하면 **노드, 네트워크, 하위 수준의 유지보수**를 Google에 맡기고, **컨테이너형 마이크로서비스**를 집중적으로 배포하고 관리할 수 있습니다.",Google Kubernetes Engine 是 **全代管的企業級** Kubernetes 平台。 \n\n有了 Kubernetes Engine，您就能專心部署及管理**容器化微服務**，同時將**節點、網路和其他基礎維護工作**交給 Google 處理。
namespace-notes-2,"Kubernetes Engine is a **Certified Kubernetes** platform with many additional features designed to give you the power and flexibility you need. \n\nFrom **built in autoscaling, VPC native networking, global load balancing, and addons like Knative and Istio**, Kubernetes Engine gives you the tools you need to build **cloud native applications**.","O Kubernetes Engine é uma plataforma **certificada Kubernetes** com muitos outros recursos desenvolvidos para fornecer a potência e a flexibilidade necessárias. \n\nDesde **escalonamento automático integrado, rede nativa VPC e balanceamento de carga global até complementos como Knative e Istio**, o Kubernetes Engine disponibiliza as ferramentas necessárias para criar **aplicativos nativos da nuvem**.","La plataforma Kubernetes Engine cuenta con el **certificado de Kubernetes** y con muchas otras funciones especialmente diseñadas para proporcionarte la potencia y la flexibilidad que necesitas. \n\nKubernetes Engine te aporta las herramientas que precisas para desarrollar **aplicaciones nativas de la nube**, desde el **autoescalado integrado, las redes nativas de nube privada virtual (VPC) y el balanceo de carga global hasta complementos como Knative e Istio**.",Kubernetes Engine 是**经过认证的 Kubernetes**平台，还提供许多额外的功能，旨在为您提供所需的处理能力和灵活性。\n\n从**内置自动扩缩、VPC 原生网络、全局负载平衡，到 Knative 和 Istio 等插件**，Kubernetes Engine 为您提供了构建**云原生应用**所需的一切工具。,"Kubernetes Engine은 필요한 성능과 유연성을 제공하도록 만들어진 다양한 추가 기능을 갖춘 **Certified Kubernetes** 플랫폼입니다. \n\nKubernetes Engine은 **내장된 자동 확장, VPC 기반 네트워킹, 글로벌 부하 분산을 비롯해 Knative 및 Istio와 같은 부가기능**까지 **클라우드 기반 애플리케이션**을 빌드하기 위해 필요한 도구를 제공합니다.",Kubernetes Engine 是**經過認證的 Kubernetes** 平台，具備許多額外功能，可以為您提供各項必要的服務，而且使用起來十分具有彈性。 \n\nKubernetes Engine 提供建構**雲端原生應用程式**所需的工具，例如**內建的自動調度資源、虛擬私人雲端原生網路和全球負載平衡功能，以及 Knative 和 Istio 等外掛程式**。
namespace-notes-3,One of the most important concepts in Kubernetes is that of a **Namespace**. Namespaces are used to organize resources in your cluster.,Um dos conceitos mais importantes no Kubernetes é o **Namespace**. Namespaces são usados para organizar os recursos no seu cluster.,"Uno de los conceptos más importantes en Kubernetes es el del **espacio de nombres**, que sirve para organizar los recursos de tu clúster.",Kubernetes 中最重要的概念之一是**命名空间**。命名空间用于整理集群中的资源。,**네임스페에스**는 Kubernetes에서 가장 중요하게 여기는 개념 중 하나로 클러스터에서 리소스를 관리하는 데 사용됩니다.,Kubernetes 最重要的概念之一即為 **命名空間**。您可以使用命名空間來整理叢集中的資源。
deployment-assignment,"In the **challenge** namespace you previously created, create a **Deployment** called **frontend-deployment** that runs a single Pod with the **gcr.io/gke-arcade/challenge** image.\nThe Pod should be labeled with **role = frontend**.\nThere is a partial file called `deployment.yaml` that has been created for you to use.","No namespace **challenge** criado anteriormente, inclua um **Deployment** chamado **frontend-deployment** que execute um único pod com a imagem **gcr.io/gke-arcade/challenge**.\nO rótulo do pod precisa ser **role = frontend**.\nVocê pode usar um arquivo parcial chamado ""deployment.yaml"".","En el espacio de nombres **challenge** del que ya dispones, crea un **despliegue** llamado **frontend-deployment** que ejecute un único pod con la imagen **gcr.io/gke-arcade/challenge**.\nEl pod debe tener la etiqueta **role = frontend**.\nHemos creado el archivo parcial ""deployment.yaml"" para que puedas usarlo.",在您之前创建的 **challenge** 命名空间中，创建一个名为 **frontend-deployment**、运行使用 **gcr.io/gke-arcade/challenge** 映像的单个 Pod 的**部署**。\n此 Pod 应具有 **role = frontend** 标签。\n系统创建了一个名为“deployment.yaml”的部分文件供您使用。,이전에 만든 **challenge** 네임스페이스에서 **gcr.io/gke-arcade/challenge** 이미지로 단일 Pod를 실행하는 **frontend-deployment**라는 **Deployment**를 만드세요.\nPod에 **role = frontend** 라벨을 지정해야 합니다.\n`deployment.yaml`이라는 부분 파일도 사용할 수 있도록 만들어져 있습니다.,請在稍早建立的 **challenge** 命名空間中建立名為 **frontend-deployment** 的 **Deployment**，這項 Deployment 會透過 **gcr.io/gke-arcade/challenge** 映像檔執行一個 pod。\n不過，請務必為該 pod 加上 **role = frontend** 標籤。\n我們已為您建立名為「deployment.yaml」的局部檔案，可供您使用。
deployment-notes-1,"One of the fundamental building blocks of Kubernetes is the **Pod**. Pods are a group of one or more containers that are scheduled together, for example a web server and a log collector.","Um dos elementos fundamentais do Kubernetes é o **Pod**. Os pods são um grupo de um ou mais contêineres que são programados juntos, por exemplo, um servidor da Web e um coletor de registros.",Los **pods** son uno de los elementos básicos de Kubernetes. Estos recursos son un grupo de uno o más contenedores que se programan juntos (como un servidor web o un recopilador de registros),Kubernetes 的基本构件之一是 **Pod**。Pod 是一同调度的一组（一个或多个）容器，例如 Web 服务器或日志收集器。,"Kubernetes의 기본적인 구성 요소 중 하나는 **Pod**입니다. Pod는 웹 서버 및 로그 수집기와 같이, 함께 예약된 하나 이상의 컨테이너 그룹입니다.",Kubernetes 的基本建構元件之一是 **pod**。pod 由一或多個時程相同的容器組成，例如網路伺服器和記錄檔收集工具。
deployment-notes-2,"Pods are scheduled onto the cluster with a scheduler. The most common scheduler is a **Deployment**. Deployments let you run, scale, and update your Pods in a declarative fashion.","Os pods são programados no cluster por meio de um programador. O programador mais comum é um **Deployment**. Os Deployments permitem que você execute, escalone e atualize seus pods de forma declarativa.","en el clúster mediante un programador. En estos casos, el programador más común es el **despliegue**, que te permite ejecutar, escalar y actualizar tus pods de manera declarativa.",Pod 由调度程序调度到集群中。最常用的调度程序是**部署**。部署允许您以声明式方式运行、扩缩和更新 Pod。,"Pod는 스케줄러를 사용하여 클러스터에 예약됩니다. 가장 일반적인 스케줄러는 **Deployment**입니다. Deployment를 사용하면 선언적인 방식으로 Pod를 실행, 확장, 업데이트할 수 있습니다.",系統會利用排程器將 pod 安排至叢集。最常見的排程器是 **Deployment**。Deployment 可讓您透過陳述式執行及更新 pod，並為其調度資源。
